language_code,language_name,language_synonym,thesaurus_heading_language,thesaurus_heading_people,approximate_latitude_of_language_variety,approximate_longitude_of_language_variety,state_territory,uri,category
A2,Kalarku,"Kalaaku, Kalarko, Kalaku, Ngatjunmay, Galagu/Kalako, Kallaar, Malpa, Galagu, Kalako, Ngadjunmaia, Marlba, Beelia, Beeloo, Derbal, Gala:gu, Ilakuri wongi, Juadjag, Juadjek, Juadjuk, Kalaako, Karakata, Karrakatta, Malba, Minal njunga, Minalnjunga, Minnal Yungar, Mooro, Murram, Njindango, Swan River Tribe, Takalako, Wadjug, Wadjuk, Wadjup, Wajuk, Whadjuk, Whajook, Witja:ri, Witjari, Yooadda, Yooard, Yoongar, Yuard, Yuatjek, Yungar, Yungur, Galaagu, West Mirniny",Kalarku language A2,Kalarku people A2,-32.11021775,121.4875755,WA,https://collection.aiatsis.gov.au/austlang/language/a2,Unique
A20,Wilyara ,Wiijara,Wilyara language A20,Wilyara people A20,-26.79961161,120.4156881,WA,https://collection.aiatsis.gov.au/austlang/language/a20,Unique
A21,Gula ,Go:la,Gula language A21,Gula people A21,-27.99046025,122.7020083,WA,https://collection.aiatsis.gov.au/austlang/language/a21,Unique
A22,Marawa ,,Marawa language A22,Marawa people A22,-28.77151428,125.3463879,WA,https://collection.aiatsis.gov.au/austlang/language/a22,Unique
A24,Gurduwanga ,"Kurduwonga, Kurduwongga, Wadjari, Baialdju, Cheangwa, Iirrawad ari, Irawadjari, Jamadji, Maliara, Miliara, Miliarra, Pidong, Wadarri, Wadgaree, Wadjeri, Waian wonga, Wajari, Wajeri, Wajjari, Wardal, Yajeri, Yamaidyi",Gurduwanga language A24,Gurduwanga people A24,-25.66881645,117.5473826,WA,https://collection.aiatsis.gov.au/austlang/language/a24,Unique
A26,Djalgandi ,"Tjalkanti, Tjalkadjara, Barduwonga, Djalgadjara, Barduwanga, Talkumara, Tjalkandjara, Tjalkakari, Wordako, Tjalkani, Djalgani, Tjalgandi, Erlistoun tribe, Dituwonga",Djalgandi language A26,Djalgandi people A26,-27.64572816,122.973062,WA,https://collection.aiatsis.gov.au/austlang/language/a26,Unique
A27,Mudalga ,,Mudalga language A27,Mudalga people A27,-27.75221032,123.6548741,WA,https://collection.aiatsis.gov.au/austlang/language/a27,Unique
A28,Bunggura ,,Bunggura language A28,Bunggura people A28,-27.28614141,130.4633711,WA,https://collection.aiatsis.gov.au/austlang/language/a28,Unique
A29,Wawula ,"Madoitja, Wardal, Wirdinja, Ngaiu, Ngayuwanga, Waula, Wawlwulu, Ngaiuwonga, Wawulja, Tjitijamba, Tjitjijamba, Waula for Wardal, Marduidji, Milamada, Wainawonga, Konin, Waula for Madoitja",Wawula language A29,Wawula people A29,-25.01014047,121.1196452,WA,https://collection.aiatsis.gov.au/austlang/language/a29,Unique
A3,Ngadjumaya / Ngadju,"Ngatjumaya, Ngatyumaya, Ngadjunmaya, Ngatjunmay, Galagu, Kalako, Ngadjunmaia, Ba:donjunga, Badonjunga, Bardojunga, Bardok, Buljigu, Fraser Range tribe, Malba, Marlba, Marlpa, Minninng, Ngadjumaja, Ngadjunma, Ngadjunpakara, Ngadjunpukara, Ngadyunma, Ngatju, Ngatjumay, Ngatjunmaya, Norseman, Pardoak, Tchaakalaaga, Wangka malpa, West Meening, West Mining, Ngadyumaya, Ngadjunma/Marlba, Wangka Malpa, Ngadju:",Ngadjumaya / Ngadju language A3,Ngadju people A3,-32.32466432,123.7411955,WA,https://collection.aiatsis.gov.au/austlang/language/a3,Unique
A30,Ngadawanga ,"Ngaiawongga, alternative for Tjupany, Madoitja, Ngadawongga, Ngadhawonga, Ngarawonga, Bidungu/Ngayawanga/Ngadawanga, Ngajawonga, Ngaiu wonga, Ngarga wonga, Maliar:a, Wallawe, Waula, Pidungu, Madutjara",Ngadawanga language A30,Ngadawanga people A30,-26.40174013,119.5797048,WA,https://collection.aiatsis.gov.au/austlang/language/a30,Unique
A31,Tjupan,"Tjupany, Madoitja, Tjubanba, Tjubanba, Djuban, Tjupan, Jupan, Thuradha (Bates), Tjuparn Wangka, Tjupany",Tjupan language A31,Tjupan people A31,-27.11795547,120.5664224,WA,https://collection.aiatsis.gov.au/austlang/language/a31,Unique
A32,Nakako ,"Nakaku, Nangako, Nangakopitja, Wanudjara",Nakako language A32,Nakako people A32,-27.22284277,128.5109142,WA,https://collection.aiatsis.gov.au/austlang/language/a32,Unique
A33,Mantjintjarra ,"Mandjindja, Jindi, Kalgonei, Kalgoneidjara, Madu, Maduwongga, Mandijildjara, Mandildjara, Mandjihjarra, Mandjiidjarra, Mandjildara, Mandjildjara, Mandjildjarra, Mandjiltjara, Mandjiltjarra, Mandjintjarra, Mandjindjara, Mandjindji, Mandjindjiwongga, Mandshindshi, Mangingiwonga, Manginji, Mangula, Mangundjara, Manjiljara, Manjiljarra, Manjinjiwonga, Mantjila, Mantjildjara, Mantjiltjara, Manyjilyjarra, Nanggarangku, Man gula, Nanggar angku",Mantjintjarra language A33,Mantjintjarra people A33,-27.25385788,126.0846168,WA,https://collection.aiatsis.gov.au/austlang/language/a33,Unique
A34,Mangu ,Manyjilyjarra,Mangu language A34,Mangu people A34,-25.57987993,119.7750311,WA,https://collection.aiatsis.gov.au/austlang/language/a34,Unique
A37,Nanadjara,"Nana, Pini, I:nabadanggural, Kalgo nei, Kalgoneidjara, Kalguni, Nangand jara, Nangaridjara, Ngan:adjara, Nganadjara, Jumudjara, Ngatari, Nona",Nanadjara language A37,Nanadjara people A37,-26.06406529,123.4876394,WA,https://collection.aiatsis.gov.au/austlang/language/a37,Unique
A38,Ngaanyatjarra ,"Ngaanjatjarra, Nana, I:nabadanggural, Jumudjara, Kalgonei, Kalgoneidjara, Kalguni, Kuwaratjara, Nangandjara, Nangaridjara, Ngaanjadjara, Ngan:adjara, Ngana, Nganadjara, Ngatari, Nona, Warburton Ranges, Ngadadjara, Ngaanyatjara, Warburton Ranges Dialect, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadatjara, Ngadawongga, Ngadjatara, Ngatatara, Ngatatjara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja",Ngaanyatjarra language A38,Ngaanyatjarra people A38,-25.8004324,127.3534575,WA,https://collection.aiatsis.gov.au/austlang/language/a38,Unique
A39,Wajarri,"Watjarri, Bidungu, Irawadjari, Mulyara, Nokaan, Wadjari, Waiawonga, Baialdju, Batiga, Cheangwa, Dhauerngu, Iirrawadari, Jamadji, Kurduwonga, Kurduwongga, Maliara, Miliara, Miliarra, Pidong, Wadari, Wadarri, Wadgaree, Wadhari, Wadjeri, Wadyari, Waian, Waianwonga, Wajari, Wajeri, Wajjari, Wajjiri, Wanmala, Wardal, Watjari, Wodjeri, Yabbaroo, Yabbooroo, Yajeri, Yamadgee, Yamaidyi, Yamaji, Wadyarri, Witjari, Waian wonga, Iirrawad ari",Wajarri language A39,Wajarri people A39,-26.10023039,116.9930825,WA,https://collection.aiatsis.gov.au/austlang/language/a39,Unique
A4,Kaalamaya ,"Kaprun, Karlamay, Nyunga, Galamaia, Jabururru, Jawan, Kalamaia, Kelamai, Natingero, Takalako, Watjanmay, Yabro, Galamai, Galamaya, Jaburu, Jungaa, Jungal, Kala:mai, Kaallarmaay, Kalamai, Kalamay, Kalamaya, Njindango, Youngal, Youngar, Yungar, Galamay, Gubrun, Kapurn",Kaalamaya language A4,Kaalamaya people A4,-30.26369153,119.0129788,WA,https://collection.aiatsis.gov.au/austlang/language/a4,Unique
A43,Ngaatjatjarra ,"Ngaatjatjarr, Ngaanyatjarra, Ngaadjadjara, Ngatatjara, Ngadadjara, Bidungu, Madutjara, Maliar:a, Nalada, Ngaatjatarra, Ngada, Ngadawangga, Ngadawongga, Ngadhawonga, Ngaiawongga, Ngaiu wonga, Ngajawonga, Ngarawonga, Ngarga, Ngargawonga, Ngayawangga, Nyadadjara, Pidungu, Tekateka, Wallawee, WaulaNgaadadjara, Ngadatjara, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadjatara, Nganadjara, Ngatatara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja",Ngaatjatjarra language A43,Ngaatjatjarra people A43,-25.08112519,128.5419926,WA,https://collection.aiatsis.gov.au/austlang/language/a43,Unique
A48,Ngarla ,"Ngarlawangga, Yinhawangka, Panytyima, Inawonga, Inawangga, Inawonga for Inawongga, Ngaunmardi, Nalawonga, Ngalawongga, Ngalawonga, Ngarla warngga, Southern Padima for Ninanu, Ngaala Warngga ",Ngarla language A48,Ngarla people A48,-23.79971186,117.6073884,WA,https://collection.aiatsis.gov.au/austlang/language/a48,Unique
A49,Wirdinya ,"Wawula, Wirdinja, Wardal, Jabura, Mardo, Woordinya, Woordunya",Wirdinya language A49,Wirdinya people A49,-23.83364083,120.4708263,WA,https://collection.aiatsis.gov.au/austlang/language/a49,Unique
A5,Nungara ,Nugara,Nungara language A5,Nungara people A5,-30.28873663,120.5950126,WA,https://collection.aiatsis.gov.au/austlang/language/a5,Unique
A50,Nyiyaparli ,"Palyku/Nyiyaparli, Njiyapali, Nijadali, Palyku, Bailgu, Binigura, Niabali, Paljgu, Iabali, Jana, Janari, Njiabadi, Njiabali, Njijabadi, Njijabali, Njijapali, Nyiyabali, Nyiyapali, Njiyabali",Nyiyaparli language A50,Nyiyaparli people A50,-22.92418558,120.1964725,WA,https://collection.aiatsis.gov.au/austlang/language/a50,Unique
A51,Kartujarra ,"Kartutjarra, Martu Wangka, Katutjara, Katudjara, Katatjara, Kardudjara, Gadudjara, Wal mala, Orailku, Ngadari",Kartujarra language A51,Kartujarra people A51,-23.28296268,122.0625362,WA,https://collection.aiatsis.gov.au/austlang/language/a51,Unique
A51.1,Manyjilyjarra ,"Martu Wangka, Manyjilyjara, Mardu, Mandjildjara/Manyjilyjarra, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Potidjara, Wanman, Jindi, Katutjara, Madu, Maduwongga, Mandijildjara, Mandildjara, Mandjihjarra, Mandjiidjarra, Mandjildara, Mandjildjarra, Mandjiltjara, Mandjiltjarra, Mandjintjarra, Mandjindja, Mangula, Mangundjara, Manjiljara, Manjiljarra, Manjiljarra/Kartujarra, Manjinjiwonga, Mantjila, Mantjildjara, Mantjiltjara, Mardo, Marduwangga, Martu wangka, Matu wangga, Matuntara, Matutjarra, Matuwangga, Nanggarangku, Martu",Manyjilyjarra language A51.1,Manyjilyjarra people A51.1,-22.57376173,124.9062456,WA,https://collection.aiatsis.gov.au/austlang/language/a51.1,Unique
A52,Kiyajarra ,"Mardu, Giyajarra/Keiadjara, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Wanman, Giadjara, Giyadyara, Giyadjara, Keiatara, Keredjara, Kiadjara, Giad jara, Gijadjara, Targudi, Tjargudi, Djar gudi, Targoodi, Kalgoneidjara, Kalguni",Kiyajarra language A52,Kiyajarra people A52,-23.51038415,125.9526596,WA,https://collection.aiatsis.gov.au/austlang/language/a52,Unique
A53,BANYJIMA ,"Banyjima, Panyjima, Panjtjima, Panytyima, Banjima, Bandjima, Mandanjongo, Papupadu, Banjima, Banyjima, Mandara, Paanjima, Pandima, Pandjima, Panjima, Panyjima, Banydyima, Bandjima, Pand'ima",Banyjima language A53,Banyjima people A53,-22.74313267,118.3730032,WA,https://collection.aiatsis.gov.au/austlang/language/a53,Unique
A54,Putijarra ,"Western Desert Language, Martu Wangka, Pawututjara, Potitjara, Putitjara, Budidjara, Bududjara, Purdi tara, Pawutudjara, Paodudjara, Patudja, Pa tudjara, Partutudjara, Bawndudjara, Partutu, Ngondidjara, Kaltalbudara, Kaltalbudjara, Kaltalbudjira, Poroko, Bardu wonga, Badu, Pardu, Tutudjara",Putijarra language A54,Putijarra people A54,-24.29516289,122.6147595,WA,https://collection.aiatsis.gov.au/austlang/language/a54,Unique
A55,Palyku ,"Palyku/Nyiyaparli, Mangguldulkara, Paljarri, Nijadali, Bailgu, Binigura, Niabali, Nyiyaparli, Paljgu, Baialja, Bailgo, Bailju, Bailko, Balgo, Balgoo, Balgu, Baligu, Baljgu, Balju, Boolgoo, Pailgo, Pailgu, Palgu, Palgoe, Pulgo, Pulgoe, Balygu",Palyku language A55,Palyku people A55,-22.23908916,120.1608398,WA,https://collection.aiatsis.gov.au/austlang/language/a55,Unique
A56,Dargudi ,Targudi,Dargudi language A56,Dargudi people A56,-23.06937606,121.0457235,WA,https://collection.aiatsis.gov.au/austlang/language/a56,Unique
A58,Nyamal ,"Pundju, Widagari, Witukari, Gnamo, Ibarga, Ibargo, Ibarrga, Namal, Namarl, Namel, Njalmal, Njamal, Njamarl, Njamat, Nyamarl, Nyamel, Pundju Njamal, Pundu Namal, Tjingkai Njamal, Wanbarda, Weedokarry, Weedookary, Widagaree, Wirdakarri",Nyamal language A58,Nyamal people A58,-21.22018938,120.029409,WA,https://collection.aiatsis.gov.au/austlang/language/a58,Unique
A59,Ibarga ,"Nyangumarda, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Nyangumarta, Walyirli, Wanyarli, Ibargo, Ibarrga, Jibarga, Moonyengoota, Powera, Njangamarda, Njangamada, Nyangamada, Nangamada, Nangam urda, Njangomada, Njangumada, Njangumarda, Nangumarda, Nyangumada, Nyangumata, Njadamarda, Njanja marta, Ngapakoreilitja, Ngardungardu, Warmala, I:baruga, Ngapakarna",Ibarga language A59,Ibarga people A59,-21.2417912,122.3086586,WA,https://collection.aiatsis.gov.au/austlang/language/a59,Unique
A6,Maduwongga  ,"Martu Wangka, Manjtjiltjara, Martu, Wangka, Mardu, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Wanman, Jindi, Julbaritja, Kabul, Maduwangga, Maduwonga, Mardo, Mardudjara, Yindi, Marduwangga",Maduwongga language A6,Maduwongga people A6,-30.17413476,121.5137411,WA,https://collection.aiatsis.gov.au/austlang/language/a6,Unique
A60,Widagari,"Widugari, Nyamal, Widagari/Witukari, Pundju, Witukari, Weedokarry, Weedookarry, Widagaree, Widakari, Wirdagari, Wirdakarri, Wirdugari, Njamal, Nyamel, Namal, Njalmal, Namel, Gnamo, Tjingkai Njamal, Ibarga, Ibarrga, Ibargo, Njamat, Wanbarda, Weedookary, Pundju Njamal, Pundu Namal",Widagari language A60,Widagari people A60,-21.32798952,120.6393666,WA,https://collection.aiatsis.gov.au/austlang/language/a60,Unique
A61,NYANGUMARTA ,"Nyangumarta, Njangumarta, Nyangumarda, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Walyirli, Wanyarli, I:baruga, Ibarga, Ibargo, Ibarrga, Kularupulu, Nangamada, Nangamurda, Nangumada, Nangumarda, Nangumurdu, Ngapakarna, Ngapakoreilitja, Ngardungardu, Ngulipartu, Njadamarda, Njangamada, Njangamarda, Njangomada, Njangumada, Njangumarda, Njanjamarta, NungooMurdoo, Nyaumada, Nyangamada, Nyangumada, Nyangumata, Tjilakurukuru, Waljuli Njangamarda, Warmala, Ibarga/Ibarrga/Ibargo, Nungoomurdoo, Nyangumurtu, Nangam urda, Njanja marta, Marrngu",Nyangumarta language A61,Nyangumarta people A61,-20.47942077,122.0289589,WA,https://collection.aiatsis.gov.au/austlang/language/a61,Unique
A62,Warnman ,"Wanman, Mardu, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Nanidjara, Nenidjara, Njanidjara, Wanman Wanman, Wanmanba, Wanmin, Warumala, Nanid jara",Warnman language A62,Warnman people A62,-22.2347888,123.0524111,WA,https://collection.aiatsis.gov.au/austlang/language/a62,Unique
A64,Karajarri ,"Karatjarri, Karadjeri, Garadjari, Karadjari, Garadare, Garadjara, Garadjeri, Garadyari, Garadyaria, Gardare, Karadhari, Karrajarra, Murgud, Nawurtu, Ngangu, Karatyarri, Kularupulu, Laradjeri, Minala, Nadja, Nadjanadja, Nangu, Naudu, Naurdu, Nawudu, Nawurungainj, Ngawadu, Garad are, Marrngu",Karajarri language A64,Karajarri people A64,-18.81736968,122.3226214,WA,https://collection.aiatsis.gov.au/austlang/language/a64,Unique
A65,Mangala ,"Mangarla, Djualin, Djuwali, Djuwalia, Jiwali, Koalgurdi, Manala, Mangai, Mangal, Mangula, Mangunda, Minala, Mungala, Yalmbau, Marrngu",Mangala language A65,Mangala people A65,-19.63994907,123.9677472,WA,https://collection.aiatsis.gov.au/austlang/language/a65,Unique
A66,Walmajarri ,"Walmatjarri, Walmadjari, Wolmatjeri, Wolmeri, Bililuna dialect, Djiwalinj, Djiwalinja, Djualin, Djuwali, Jiwarliny, Juwaliny, Ngadjukura, Ngainan, Nganang, Pitangu, Tjiwali, Tjiwalindja, Tjiwaling, Tjiwarlin, Walmadere, Walmadjeri, Walmadyari, Walmadyeri, Walmaharri, Walmaharry, Walmajai, Walmajari, Walmajeri, Walmatjari, Walmatjeri, Walmatjiri, Walmeri, Wanaeka, Waneiga, Wanmadjari, Warinari Pundur, Warmala, Wolmadjari, Wolmaharry, Wolmaijari, Wolmera, Wulumarai, Wulumari, Walmad jeri, Wariari Pundur, Dju alin",Walmajarri language A66,Walmajarri people A66,-19.46737317,126.1512518,WA,https://collection.aiatsis.gov.au/austlang/language/a66,Unique
A67,Yulparija ,"Yulparitja, Martu Wangka, Julbaridja, Nangatara, Yurlparija, Julbarida, Julbre, Julbri, Yulaparitya, Yulbari dja, Yulbaridja, Yulbaridya, Yulbarija, Yulbri, Yurlbaridya, YulapaRitya, Yulbaradja, Jülbre, Yuria, Yulparirra, Nangadjara, Njangadjara, Julbaritja, Ilbaridja, Nanidjara, Nangi, Mangai, Mangi",Yulparija language A67,Yulparija people A67,-21.18399715,124.9545013,WA,https://collection.aiatsis.gov.au/austlang/language/a67,Unique
A68,Kukatja ,"Gugadja, Gogodj, Kokatja, Gogada, Gogadja, Gogadya, Gogoda, Gogodja, Gugada, Gugadji, Gugudja, Kokata, Koonggada, Kukacha, Kukada, Kukadja, Kukaja, Kukata, Kukatji, Kukuruba, Ku kuruba, Pardoo, Julbaritja, Julbre, Ilbaridja, Nambulatji, Bedengo, Bidong, Bidungo, Peedona, Peedong, Pidung, Pidunga, Manggai, Wangkatjunga, Wangatjunga, Wangatunga, Wangkatunga, Wangkadjungga, Wankutjunga, Wanaeka, Wangu, Panara, Bunara, Boonara",Kukatja language A68,Kukatja people A68,-20.4894475,127.0238704,WA,https://collection.aiatsis.gov.au/austlang/language/a68,Unique
A69,Bunara,"Ngardi, Ngardilj, Ngarti, Waringari, Boonarra, Buna:ra, Ngadi, Ngari, Ngati, Panara, Boonara, Waiangara, Kolo, Waiangari, Wain gara, Waiangadi, Warangari, Kukuruba, Woneiga, Wanayaga, Puruwantung, Buruwatung, Manggai, Munga, Walmala, Wommana",Bunara language A69,Bunara people A69,-20.70930386,129.0464562,WA,https://collection.aiatsis.gov.au/austlang/language/a69,Unique
A7,Tjeraridjal ,"Nyanganyatjara, Murunitja, Nangatadjara, Pindini, Wanggatha, Dyeraridyal",Tjeraridjal language A7,,-30.43185108,123.7831818,WA,https://collection.aiatsis.gov.au/austlang/language/a7,Unique
A71,Nhugarn ,,Nhugarn language A71,,-25.80499882,115.4762242,WA,https://collection.aiatsis.gov.au/austlang/language/a71,Unique
A72,Ngurlipartu ,"Ngulipartu, Nyangumarta, Ngolibardu, Nyangumarda, Ngolibardu/Ngurlipartu, Iparuka, Kundal, Walyirli, Wanyarli, Tjilakurukuru",,,-21.24327236,122.3284999,WA,https://collection.aiatsis.gov.au/austlang/language/a72,Unique
A73,Walyirli ,"Nyangumarta, Nyangumarda, Walyirli/Wanyarli, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Wanyarli, Walyurli",,,-20.05851321,121.8962409,WA,https://collection.aiatsis.gov.au/austlang/language/a73,Unique
A74,Fraser Range ,Fraser Range,Fraser Range language A74,,-32.175364,123.4744655,WA,https://collection.aiatsis.gov.au/austlang/language/a74,Unique
A75,Bundjuwanga ,,,,-21.08759624,119.3971991,WA,https://collection.aiatsis.gov.au/austlang/language/a75,Unique
A76,Pantikura ,,Pantikura language A76,,-22.55780241,118.5042538,WA,https://collection.aiatsis.gov.au/austlang/language/a76,Unique
A77,Mijaranypa ,Mitjaranjpa,Mijaranypa language A77,,-22.99968937,118.1452752,WA,https://collection.aiatsis.gov.au/austlang/language/a77,Unique
A78,Ju'una ,Ju?una ,,,-22.00076296,119.4554131,WA,https://collection.aiatsis.gov.au/austlang/language/a78,Unique
A79,Yinhawangka,"Ngarluwangka, Panytyima, Ngalawonga",Yinhawangka language A79,Yinhawangka people A79,-24.45577843,119.0782641,WA,https://collection.aiatsis.gov.au/austlang/language/a79,Unique
A8,Murunitja ,"Nyanganyatjara, Nangatadjara, Pindini, Tjeraridjal, Wanggatha, Kogara Mara, Mooroon, Murnidja, Murunidja, Moorooon, Mara, Kogara",Murunitja language A8,Murunitja people A8,-30.30238579,126.0307175,WA,https://collection.aiatsis.gov.au/austlang/language/a8,Unique
A80,WESTERN DESERT LANGUAGE ,The Western Desert language,Western Desert language A80,Western Desert people A80,-26.33733782,127.1081071,"NT,SA,WA",https://collection.aiatsis.gov.au/austlang/language/a80,Shared
A82,Wirdjaragandja ,"Wirdjabaganja, Wi:rtjapakandja",Wirdjaragandja language A82,,-26.30487938,131.9110761,WA,https://collection.aiatsis.gov.au/austlang/language/a82,Unique
A83,Njangadjadjara ,,Njangadjadjara language A83,,-30.68216031,131.4921161,WA,https://collection.aiatsis.gov.au/austlang/language/a83,Unique
A85,Kurajarra ,Gurajarra,Kurajarra language A85,Kurajarra people A85 ,-22.9095914,122.3629167,WA,https://collection.aiatsis.gov.au/austlang/language/a85,Unique
A86,Martu Wangka,,Martu Wangka language A86,,-23.35091166,123.6684224,WA,https://collection.aiatsis.gov.au/austlang/language/a86,Unique
A87,Wangkajunga ,"Wangkatjungka, Martu Wangka, Wanggadjunga",Wangkajunga language A87,Wangkajunga people A87,-20.57646586,126.5032336,WA,https://collection.aiatsis.gov.au/austlang/language/a87,Unique
A88,Juwaliny ,"Tjuwalinj, Walmajarri, Tjiwaliny, Yuwarliny, Tyiwaliny",Juwaliny language A88,Juwaliny people A88,-20.64372967,124.6987972,WA,https://collection.aiatsis.gov.au/austlang/language/a88,Unique
A89,Pililuna ,"Walmajarri, Bililuna dialect",,,-19.66674636,127.6004663,WA,https://collection.aiatsis.gov.au/austlang/language/a89,Unique
A9,Mirniny,"Meening, Mining, Minninng, Mirniny, Ba:duk, Baaduk, Bardok, East Meening, East Mining, Eucla, Ikala, Ikula, Jirkala Mining, Jirkla mirning, Julbara, Julbari, Jurgala, Jurgula, Minal njunga, Mininj, Minnal yungar, Minning, Mirin, Mirningj, Murram, Ngadjadjara, Ngadjudjara, Ngadjuwonga, Ngandada, Ngandatha, Wanbiri, Wanmaraing, Warnabinnie, Warnabirri, Warnabirrie, Wonbil, Wonburi, Wonunda meening, Wonunda minung, Wonunda Mirning, Yerkla Mining, Yircla, Yirkala Mining, Yirkla, Yirkla Mining, Yurgala, Mirnin, Mirninj, Warna birrie, Wonbil also Wonburi, Jirkala Mining has another explanation for the name, Yerkla mining",Mirniny language A9,Mirniny people A9,-31.29303042,128.1534933,WA,https://collection.aiatsis.gov.au/austlang/language/a9,Unique
A91,Nyardi ,Njardi,Nyardi language A91,,-18.62299162,125.2755039,WA,https://collection.aiatsis.gov.au/austlang/language/a91,Unique
A92,Tjapanmay ,"Nyunga, Djabanmay",Tjapanmay language A92,,-30.96389272,117.0541107,WA,https://collection.aiatsis.gov.au/austlang/language/a92,Unique
