"language_code","language_name","language_synonym","thesaurus_heading_language","thesaurus_heading_people","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","state_territory","uri"
"A108","Nankilakuthu","","Nankilakuthu language A108","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a108"
"A109","Martuyitha","","Martuyitha language A109","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a109"
"A11","Waljen ","Wangkathaa, Maduwongga, Ngurlu, Wanggaji, Wangkayi, Pindini, Koara, Waljwan, Walyen, Waula, wa","Waljen language A11","Waljen people A11","-29.231153995635","122.72297452583","WA","https://collection.aiatsis.gov.au/austlang/language/a11"
"A110","Marlpa","Marlba","Marlpa language A110","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a110"
"A111","Windaga","","","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a111"
"A112","Ngunuru","","Ngunuru language A112","Ngunuru people A112","","","WA","https://collection.aiatsis.gov.au/austlang/language/a112"
"A113","Byro Wajarri","","Nhugarn language A71","","","","","https://collection.aiatsis.gov.au/austlang/language/a113"
"A114","Mileura Wajarri","","Ngunuru language A112","","","","","https://collection.aiatsis.gov.au/austlang/language/a114"
"A115","Nharnu","","Nharnu language A115","","","","","https://collection.aiatsis.gov.au/austlang/language/a115"
"A116","Nyiyaparli Padupadu","","Nyiyaparli Padupadu language A116","","","","","https://collection.aiatsis.gov.au/austlang/language/a116"
"A117","Banyjima Padupadu","","","","","","","https://collection.aiatsis.gov.au/austlang/language/a117"
"A118","Ngarrka","","Ngarrka language A118","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a118"
"A119","Kurdun","","Kurdun language A119","","","","","https://collection.aiatsis.gov.au/austlang/language/a119"
"A12","Wangkatha ","Wangatja, dialect of The Western Desert language, Wangkathaa, Maduwongga, Ngurlu, Waljen, Wanggaji, Wangkayi, Pindini, Bindinini, Bindunda, Pindiini, Pini, Wangaga, Wanggada, Wonga, Wongai i, Wongaidya, Wongaii, Wonggai, Wonggaii, Wongi, Wonkai, Wanggaji/Wanggayi, Wanggayi","Wangkatha language A12","Wangkatha people A12","-29.778252421771","121.91807270657","WA","https://collection.aiatsis.gov.au/austlang/language/a12"
"A120","Yirrakalan","","Yirrakalan language A120","","","","","https://collection.aiatsis.gov.au/austlang/language/a120"
"A121","Ngardi","","Ngardi language A121","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a121"
"A122","Kakutu / Kakurtu","","Kakutu / Kakurtu language A122","","","","","https://collection.aiatsis.gov.au/austlang/language/a122"
"A123","Ngulatu / Ngulartu","","Ngulatu / Ngulartu language A123","","","","","https://collection.aiatsis.gov.au/austlang/language/a123"
"A124","Cundeelee Wangka","Cundalee Wangka","Cundeelee Wangka language A124","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a124"
"A13","Widi ","Badimaya, Widimaya, Barimaia, Cheangwa, Jaburu, Minango, Minangu, Nanakardi, Nanakari, Nanakati, Nhanhakarti, Opee, Weeree, Wiri, Wirti, Wirtimaya, Witimay, Wirtimay, Wirdimay","Widi language A13","Widi people A13","-28.826757573399","116.72152699866","WA","https://collection.aiatsis.gov.au/austlang/language/a13"
"A14","Badimaya","Parti maya, Badimaia, Badimara, Barimaia, Nanakari, Patimara, Patimay, Baadeemaia, Badimala, Bardimaia, Bidungu, Padimaia, Padinaia, Parimaia, Waadal, Wallawe, WardalBadi maia, Yamadgee, Yamaji, Yamatji, Patimaya, Bardimaya, Badimay, Yamadyis, Wardal, Badimia","Badimaya language A14","Badimaya people A14","-28.593308271869","117.18532487362","WA","https://collection.aiatsis.gov.au/austlang/language/a14"
"A16","Kuwarra ","Goara, Koara, Go:ara, Guwara, Kagara, Kogara, Konindja, Konindjara, Waula","Kuwarra language A16","Kuwarra people A16","-28.182031703639","120.34536446621","WA","https://collection.aiatsis.gov.au/austlang/language/a16"
"A17","Nangadadjara / Nyanganyatjara","Ngaanyatjarra, Murunitja, Nangatadjara, Pindini, Tjeraridjal, Wanggatha, Alindjara, Ditu, Dituwonga, Nangandjara, Nangata, Nangatatjara, Nanggaranggu, Nanggatha, Ngaanyatjara, Ngalapita, Ngana, Nganandjara, Njingipalaru, Wangata, Njanganjadjara, Nyanganyadjara, Nagatatjara, Ngalap ita, Nangadadjara ","Nangadadjara / Nyanganyatjara language A17","Nangadadjara / Nyanganyatjara people A17","-28.683701655968","124.80344633862","WA","https://collection.aiatsis.gov.au/austlang/language/a17"
"A18","Muliara","Majanna, Maldjana, Malleyearra, Meloria, Muliarra, Wadjari, Baialdju, Cheangwa, Iirrawad ari, Irawadjari, Jamadji, Kurduwonga, Kurduwongga, Maliara, Miliara, Miliarra, Pidong, Wadarri, Wadgaree, Wadjeri, Waian wonga, Wajari, Wajeri, Wajjari, Wardal, Yajeri, Yamaidyi","Muliara language A18","Muliara people A18","","","","https://collection.aiatsis.gov.au/austlang/language/a18"
"A19","Wardal ","Wawula, Madoitja, Wirdinja, Wajari, Wardalj, Tjitijamba, Tjitjijamba, Waula","Wardal language A19","Wardal people A19","","","","https://collection.aiatsis.gov.au/austlang/language/a19"
"A2","Kalarku","Kalaaku, Kalarko, Kalaku, Ngatjunmay, Galagu/Kalako, Kallaar, Malpa, Galagu, Kalako, Ngadjunmaia, Marlba, Beelia, Beeloo, Derbal, Gala:gu, Ilakuri wongi, Juadjag, Juadjek, Juadjuk, Kalaako, Karakata, Karrakatta, Malba, Minal njunga, Minalnjunga, Minnal Yungar, Mooro, Murram, Njindango, Swan River Tribe, Takalako, Wadjug, Wadjuk, Wadjup, Wajuk, Whadjuk, Whajook, Witja:ri, Witjari, Yooadda, Yooard, Yoongar, Yuard, Yuatjek, Yungar, Yungur, Galaagu, West Mirniny","Kalarku language A2","Kalarku people A2","-32.110217754506","121.4875755408","WA","https://collection.aiatsis.gov.au/austlang/language/a2"
"A20","Wilyara ","Wiijara","Wilyara language A20","Wilyara people A20","-26.799611608385","120.41568813065","WA","https://collection.aiatsis.gov.au/austlang/language/a20"
"A21","Gula ","Go:la","Gula language A21","Gula people A21","-27.99046024825","122.70200834255","WA","https://collection.aiatsis.gov.au/austlang/language/a21"
"A22","Marawa ","","Marawa language A22","Marawa people A22","-28.771514280889","125.34638789354","WA","https://collection.aiatsis.gov.au/austlang/language/a22"
"A23","Mangula ","Mandjindja, Kalgonei, Kalgoneidjara, Mandjindjara, Mandjindji, Mandjindjiwongga, Mandshindshi, Man gula, Mangundjara, Manjinjiwonga, Mantjila, Nanggar angku","Mangula language A23","Mangula people A23","","","WA","https://collection.aiatsis.gov.au/austlang/language/a23"
"A24","Gurduwanga ","Kurduwonga, Kurduwongga, Wadjari, Baialdju, Cheangwa, Iirrawad ari, Irawadjari, Jamadji, Maliara, Miliara, Miliarra, Pidong, Wadarri, Wadgaree, Wadjeri, Waian wonga, Wajari, Wajeri, Wajjari, Wardal, Yajeri, Yamaidyi","Gurduwanga language A24","Gurduwanga people A24","-25.668816450276","117.54738262512","WA","https://collection.aiatsis.gov.au/austlang/language/a24"
"A25","Birniridjara ","Pinyirritjarra, Pini, Nana, Badu, Bandjanu, Banjanu, Barduwonga, Bawndudjara, Bini, Biniridjara, Birni, Budidjara, Bududjara, Buranudjara, Buurdidyara, Jabura, Kaltalbudara, Kaltalbudjara, Kaltalbudjira, Madutjara, Nangaritjara, Ngondidjara, Pandjanu, Pardu, Partutu, Partutudjara, Piniiri, Piniridjara, Pirniritjara, Poroko, Potidjara, Potitjara, Puditjarra, Purditara, Putitjara, Tjubun, Tutudjara, Wordako","Birniridjara language A25","Birniridjara people A25","","","","https://collection.aiatsis.gov.au/austlang/language/a25"
"A26","Djalgandi ","Tjalkanti, Tjalkadjara, Barduwonga, Djalgadjara, Barduwanga, Talkumara, Tjalkandjara, Tjalkakari, Wordako, Tjalkani, Djalgani, Tjalgandi, Erlistoun tribe, Dituwonga","Djalgandi language A26","Djalgandi people A26","-27.645728155089","122.97306203614","WA","https://collection.aiatsis.gov.au/austlang/language/a26"
"A27","Mudalga ","","Mudalga language A27","Mudalga people A27","-27.752210323925","123.65487413983","WA","https://collection.aiatsis.gov.au/austlang/language/a27"
"A28","Bunggura ","","Bunggura language A28","Bunggura people A28","-27.28614140549","130.46337106064","WA","https://collection.aiatsis.gov.au/austlang/language/a28"
"A29","Wawula ","Madoitja, Wardal, Wirdinja, Ngaiu, Ngayuwanga, Waula, Wawlwulu, Ngaiuwonga, Wawulja, Tjitijamba, Tjitjijamba, Waula for Wardal, Marduidji, Milamada, Wainawonga, Konin, Waula for Madoitja","Wawula language A29","Wawula people A29","-25.010140467372","121.11964519461","WA","https://collection.aiatsis.gov.au/austlang/language/a29"
"A3","Ngadjumaya / Ngadju","Ngatjumaya, Ngatyumaya, Ngadjunmaya, Ngatjunmay, Galagu, Kalako, Ngadjunmaia, Ba:donjunga, Badonjunga, Bardojunga, Bardok, Buljigu, Fraser Range tribe, Malba, Marlba, Marlpa, Minninng, Ngadjumaja, Ngadjunma, Ngadjunpakara, Ngadjunpukara, Ngadyunma, Ngatju, Ngatjumay, Ngatjunmaya, Norseman, Pardoak, Tchaakalaaga, Wangka malpa, West Meening, West Mining, Ngadyumaya, Ngadjunma/Marlba, Wangka Malpa, Ngadju:","Ngadjumaya / Ngadju language A3","Ngadju people A3","-32.324664323174","123.74119550947","WA","https://collection.aiatsis.gov.au/austlang/language/a3"
"A30","Ngadawanga ","Ngaiawongga, alternative for Tjupany, Madoitja, Ngadawongga, Ngadhawonga, Ngarawonga, Bidungu/Ngayawanga/Ngadawanga, Ngajawonga, Ngaiu wonga, Ngarga wonga, Maliar:a, Wallawe, Waula, Pidungu, Madutjara","Ngadawanga language A30","Ngadawanga people A30","-26.401740132949","119.57970476761","WA","https://collection.aiatsis.gov.au/austlang/language/a30"
"A31","Tjupan","Tjupany, Madoitja, Tjubanba, Tjubanba, Djuban, Tjupan, Jupan, Thuradha (Bates), Tjuparn Wangka, Tjupany","Tjupan language A31","Tjupan people A31","-27.117955474616","120.56642240741","WA","https://collection.aiatsis.gov.au/austlang/language/a31"
"A32","Nakako ","Nakaku, Nangako, Nangakopitja, Wanudjara","Nakako language A32","Nakako people A32","-27.222842765728","128.51091416846","WA","https://collection.aiatsis.gov.au/austlang/language/a32"
"A33","Mantjintjarra ","Mandjindja, Jindi, Kalgonei, Kalgoneidjara, Madu, Maduwongga, Mandijildjara, Mandildjara, Mandjihjarra, Mandjiidjarra, Mandjildara, Mandjildjara, Mandjildjarra, Mandjiltjara, Mandjiltjarra, Mandjintjarra, Mandjindjara, Mandjindji, Mandjindjiwongga, Mandshindshi, Mangingiwonga, Manginji, Mangula, Mangundjara, Manjiljara, Manjiljarra, Manjinjiwonga, Mantjila, Mantjildjara, Mantjiltjara, Manyjilyjarra, Nanggarangku, Man gula, Nanggar angku","Mantjintjarra language A33","Mantjintjarra people A33","-27.253857884925","126.08461682425","WA","https://collection.aiatsis.gov.au/austlang/language/a33"
"A34","Mangu ","Manyjilyjarra","Mangu language A34","Mangu people A34","-25.579879925586","119.77503108661","WA","https://collection.aiatsis.gov.au/austlang/language/a34"
"A35","Konin ","Gonin, Madoitja, Marduidji, Milamada, Wainawonga, Waula","","Konin people A35","","","WA","https://collection.aiatsis.gov.au/austlang/language/a35"
"A36","Milamada ","Madoitja, Konin, Marduidji, Wainawonga, Waula","","","","","","https://collection.aiatsis.gov.au/austlang/language/a36"
"A37","Nanadjara","Nana, Pini, I:nabadanggural, Kalgo nei, Kalgoneidjara, Kalguni, Nangand jara, Nangaridjara, Ngan:adjara, Nganadjara, Jumudjara, Ngatari, Nona","Nanadjara language A37","Nanadjara people A37","-26.064065288865","123.48763939134","WA","https://collection.aiatsis.gov.au/austlang/language/a37"
"A38","Ngaanyatjarra ","Ngaanjatjarra, Nana, I:nabadanggural, Jumudjara, Kalgonei, Kalgoneidjara, Kalguni, Kuwaratjara, Nangandjara, Nangaridjara, Ngaanjadjara, Ngan:adjara, Ngana, Nganadjara, Ngatari, Nona, Warburton Ranges, Ngadadjara, Ngaanyatjara, Warburton Ranges Dialect, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadatjara, Ngadawongga, Ngadjatara, Ngatatara, Ngatatjara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja","Ngaanyatjarra language A38","Ngaanyatjarra people A38","-25.80043240336","127.35345751349","WA","https://collection.aiatsis.gov.au/austlang/language/a38"
"A38.1","Widjandja ","Ngadadjara, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadatjara, Ngadawongga, Ngadjatara, Nganadjara, Ngatatara, Ngatatjara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja","","","","","","https://collection.aiatsis.gov.au/austlang/language/a38_1"
"A39","Wajarri","Watjarri, Bidungu, Irawadjari, Mulyara, Nokaan, Wadjari, Waiawonga, Baialdju, Batiga, Cheangwa, Dhauerngu, Iirrawadari, Jamadji, Kurduwonga, Kurduwongga, Maliara, Miliara, Miliarra, Pidong, Wadari, Wadarri, Wadgaree, Wadhari, Wadjeri, Wadyari, Waian, Waianwonga, Wajari, Wajeri, Wajjari, Wajjiri, Wanmala, Wardal, Watjari, Wodjeri, Yabbaroo, Yabbooroo, Yajeri, Yamadgee, Yamaidyi, Yamaji, Wadyarri, Witjari, Waian wonga, Iirrawad ari","Wajarri language A39","Wajarri people A39","-26.100230390261","116.99308252226","WA","https://collection.aiatsis.gov.au/austlang/language/a39"
"A39.1","Wadiwangga ","Wadiwanga","Warriyangga language W22","","","","","https://collection.aiatsis.gov.au/austlang/language/a39.1"
"A4","Kaalamaya ","Kaprun, Karlamay, Nyunga, Galamaia, Jabururru, Jawan, Kalamaia, Kelamai, Natingero, Takalako, Watjanmay, Yabro, Galamai, Galamaya, Jaburu, Jungaa, Jungal, Kala:mai, Kaallarmaay, Kalamai, Kalamay, Kalamaya, Njindango, Youngal, Youngar, Yungar, Galamay, Gubrun, Kapurn","Kaalamaya language A4","Kaalamaya people A4","-30.263691528344","119.0129787698","WA","https://collection.aiatsis.gov.au/austlang/language/a4"
"A40","Birdungu ","Bidungu, Bedengo, Pedong, Peedong, Pidunga, Peedona, Pardoo, Palatong, Bidungu, Pidong Bedongo, Bidungo, Pidungu","Birdungu language A40","Birdungu people A40","","","","https://collection.aiatsis.gov.au/austlang/language/a40"
"A41","Madoidja ","Wawula, Tjupany, Madoitja, Wardal, Wirdinja, Wainawonga, Marduidji, Milamada, Wainawonga, Konin, Waula","Madoidja language A41","Madoidja people A41","","","","https://collection.aiatsis.gov.au/austlang/language/a41"
"A42","Tjitijamba","Tjitiyamba, Tjitjijamba, Wardal, Djidjijamba, Waula","","","","","","https://collection.aiatsis.gov.au/austlang/language/a42"
"A43","Ngaatjatjarra ","Ngaatjatjarr, Ngaanyatjarra, Ngaadjadjara, Ngatatjara, Ngadadjara, Bidungu, Madutjara, Maliar:a, Nalada, Ngaatjatarra, Ngada, Ngadawangga, Ngadawongga, Ngadhawonga, Ngaiawongga, Ngaiu wonga, Ngajawonga, Ngarawonga, Ngarga, Ngargawonga, Ngayawangga, Nyadadjara, Pidungu, Tekateka, Wallawee, WaulaNgaadadjara, Ngadatjara, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadjatara, Nganadjara, Ngatatara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja","Ngaatjatjarra language A43","Ngaatjatjarra people A43","-25.08112518563","128.54199255349","WA","https://collection.aiatsis.gov.au/austlang/language/a43"
"A44","Djungurdja ","","delete language","","","","","https://collection.aiatsis.gov.au/austlang/language/a44"
"A48","Ngarla ","Ngarlawangga, Yinhawangka, Panytyima, Inawonga, Inawangga, Inawonga for Inawongga, Ngaunmardi, Nalawonga, Ngalawongga, Ngalawonga, Ngarla warngga, Southern Padima for Ninanu, Ngaala Warngga ","Ngarla language A48","Ngarla people A48","-23.799711855686","117.60738836527","WA","https://collection.aiatsis.gov.au/austlang/language/a48"
"A49","Wirdinya ","Wawula, Wirdinja, Wardal, Jabura, Mardo, Woordinya, Woordunya","Wirdinya language A49","Wirdinya people A49","-23.83364083433","120.4708263347","WA","https://collection.aiatsis.gov.au/austlang/language/a49"
"A5","Nungara ","Nugara","Nungara language A5","Nungara people A5","-30.288736633741","120.59501258947","WA","https://collection.aiatsis.gov.au/austlang/language/a5"
"A50","Nyiyaparli ","Palyku/Nyiyaparli, Njiyapali, Nijadali, Palyku, Bailgu, Binigura, Niabali, Paljgu, Iabali, Jana, Janari, Njiabadi, Njiabali, Njijabadi, Njijabali, Njijapali, Nyiyabali, Nyiyapali, Njiyabali","Nyiyaparli language A50","Nyiyaparli people A50","-22.924185578629","120.19647245046","WA","https://collection.aiatsis.gov.au/austlang/language/a50"
"A51","Kartujarra ","Kartutjarra, Martu Wangka, Katutjara, Katudjara, Katatjara, Kardudjara, Gadudjara, Wal mala, Orailku, Ngadari","Kartujarra language A51","Kartujarra people A51","-23.282962677149","122.06253619927","WA","https://collection.aiatsis.gov.au/austlang/language/a51"
"A51.1","Manyjilyjarra ","Martu Wangka, Manyjilyjara, Mardu, Mandjildjara/Manyjilyjarra, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Potidjara, Wanman, Jindi, Katutjara, Madu, Maduwongga, Mandijildjara, Mandildjara, Mandjihjarra, Mandjiidjarra, Mandjildara, Mandjildjarra, Mandjiltjara, Mandjiltjarra, Mandjintjarra, Mandjindja, Mangula, Mangundjara, Manjiljara, Manjiljarra, Manjiljarra/Kartujarra, Manjinjiwonga, Mantjila, Mantjildjara, Mantjiltjara, Mardo, Marduwangga, Martu wangka, Matu wangga, Matuntara, Matutjarra, Matuwangga, Nanggarangku, Martu","Manyjilyjarra language A51.1","Manyjilyjarra people A51.1","-22.573761734635","124.90624556636","WA","https://collection.aiatsis.gov.au/austlang/language/a51.1"
"A52","Kiyajarra ","Mardu, Giyajarra/Keiadjara, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Wanman, Giadjara, Giyadyara, Giyadjara, Keiatara, Keredjara, Kiadjara, Giad jara, Gijadjara, Targudi, Tjargudi, Djar gudi, Targoodi, Kalgoneidjara, Kalguni","Kiyajarra language A52","Kiyajarra people A52","-23.510384152199","125.95265960129","WA","https://collection.aiatsis.gov.au/austlang/language/a52"
"A53","BANYJIMA ","Banyjima, Panyjima, Panjtjima, Panytyima, Banjima, Bandjima, Mandanjongo, Papupadu, Banjima, Banyjima, Mandara, Paanjima, Pandima, Pandjima, Panjima, Panyjima, Banydyima, Bandjima, Pand'ima","Banyjima language A53","Banyjima people A53","-22.743132667405","118.37300319665","WA","https://collection.aiatsis.gov.au/austlang/language/a53"
"A54","Putijarra ","Western Desert Language, Martu Wangka, Pawututjara, Potitjara, Putitjara, Budidjara, Bududjara, Purdi tara, Pawutudjara, Paodudjara, Patudja, Pa tudjara, Partutudjara, Bawndudjara, Partutu, Ngondidjara, Kaltalbudara, Kaltalbudjara, Kaltalbudjira, Poroko, Bardu wonga, Badu, Pardu, Tutudjara","Putijarra language A54","Putijarra people A54","-24.295162890646","122.61475954026","WA","https://collection.aiatsis.gov.au/austlang/language/a54"
"A55","Palyku ","Palyku/Nyiyaparli, Mangguldulkara, Paljarri, Nijadali, Bailgu, Binigura, Niabali, Nyiyaparli, Paljgu, Baialja, Bailgo, Bailju, Bailko, Balgo, Balgoo, Balgu, Baligu, Baljgu, Balju, Boolgoo, Pailgo, Pailgu, Palgu, Palgoe, Pulgo, Pulgoe, Balygu","Palyku language A55","Palyku people A55","-22.239089157585","120.16083978695","WA","https://collection.aiatsis.gov.au/austlang/language/a55"
"A56","Dargudi ","Targudi","Dargudi language A56","Dargudi people A56","-23.069376057345","121.04572349304","WA","https://collection.aiatsis.gov.au/austlang/language/a56"
"A58","Nyamal ","Pundju, Widagari, Witukari, Gnamo, Ibarga, Ibargo, Ibarrga, Namal, Namarl, Namel, Njalmal, Njamal, Njamarl, Njamat, Nyamarl, Nyamel, Pundju Njamal, Pundu Namal, Tjingkai Njamal, Wanbarda, Weedokarry, Weedookary, Widagaree, Wirdakarri","Nyamal language A58","Nyamal people A58","-21.220189379259","120.02940899496","WA","https://collection.aiatsis.gov.au/austlang/language/a58"
"A59","Ibarga ","Nyangumarda, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Nyangumarta, Walyirli, Wanyarli, Ibargo, Ibarrga, Jibarga, Moonyengoota, Powera, Njangamarda, Njangamada, Nyangamada, Nangamada, Nangam urda, Njangomada, Njangumada, Njangumarda, Nangumarda, Nyangumada, Nyangumata, Njadamarda, Njanja marta, Ngapakoreilitja, Ngardungardu, Warmala, I:baruga, Ngapakarna","Ibarga language A59","Ibarga people A59","-21.241791200905","122.3086586102","WA","https://collection.aiatsis.gov.au/austlang/language/a59"
"A6","Maduwongga  ","Martu Wangka, Manjtjiltjara, Martu, Wangka, Mardu, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Wanman, Jindi, Julbaritja, Kabul, Maduwangga, Maduwonga, Mardo, Mardudjara, Yindi, Marduwangga","Maduwongga language A6","Maduwongga people A6","-30.174134763584","121.51374107656","WA","https://collection.aiatsis.gov.au/austlang/language/a6"
"A60","Widagari","Widugari, Nyamal, Widagari/Witukari, Pundju, Witukari, Weedokarry, Weedookarry, Widagaree, Widakari, Wirdagari, Wirdakarri, Wirdugari, Njamal, Nyamel, Namal, Njalmal, Namel, Gnamo, Tjingkai Njamal, Ibarga, Ibarrga, Ibargo, Njamat, Wanbarda, Weedookary, Pundju Njamal, Pundu Namal","Widagari language A60","Widagari people A60","-21.327989524911","120.63936664165","WA","https://collection.aiatsis.gov.au/austlang/language/a60"
"A61","NYANGUMARTA ","Nyangumarta, Njangumarta, Nyangumarda, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Walyirli, Wanyarli, I:baruga, Ibarga, Ibargo, Ibarrga, Kularupulu, Nangamada, Nangamurda, Nangumada, Nangumarda, Nangumurdu, Ngapakarna, Ngapakoreilitja, Ngardungardu, Ngulipartu, Njadamarda, Njangamada, Njangamarda, Njangomada, Njangumada, Njangumarda, Njanjamarta, NungooMurdoo, Nyaumada, Nyangamada, Nyangumada, Nyangumata, Tjilakurukuru, Waljuli Njangamarda, Warmala, Ibarga/Ibarrga/Ibargo, Nungoomurdoo, Nyangumurtu, Nangam urda, Njanja marta, Marrngu","Nyangumarta language A61","Nyangumarta people A61","-20.479420766843","122.02895891035","WA","https://collection.aiatsis.gov.au/austlang/language/a61"
"A62","Warnman ","Wanman, Mardu, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Nanidjara, Nenidjara, Njanidjara, Wanman Wanman, Wanmanba, Wanmin, Warumala, Nanid jara","Warnman language A62","Warnman people A62","-22.23478879967","123.05241114393","WA","https://collection.aiatsis.gov.au/austlang/language/a62"
"A63","Waringari ","Ngarti, Ngardi, Waiangara","Waringari language A63","Waringari people A63","","","","https://collection.aiatsis.gov.au/austlang/language/a63"
"A64","Karajarri ","Karatjarri, Karadjeri, Garadjari, Karadjari, Garadare, Garadjara, Garadjeri, Garadyari, Garadyaria, Gardare, Karadhari, Karrajarra, Murgud, Nawurtu, Ngangu, Karatyarri, Kularupulu, Laradjeri, Minala, Nadja, Nadjanadja, Nangu, Naudu, Naurdu, Nawudu, Nawurungainj, Ngawadu, Garad are, Marrngu","Karajarri language A64","Karajarri people A64","-18.817369678434","122.32262142986","WA","https://collection.aiatsis.gov.au/austlang/language/a64"
"A65","Mangala ","Mangarla, Djualin, Djuwali, Djuwalia, Jiwali, Koalgurdi, Manala, Mangai, Mangal, Mangula, Mangunda, Minala, Mungala, Yalmbau, Marrngu","Mangala language A65","Mangala people A65","-19.639949066406","123.96774721505","WA","https://collection.aiatsis.gov.au/austlang/language/a65"
"A66","Walmajarri ","Walmatjarri, Walmadjari, Wolmatjeri, Wolmeri, Bililuna dialect, Djiwalinj, Djiwalinja, Djualin, Djuwali, Jiwarliny, Juwaliny, Ngadjukura, Ngainan, Nganang, Pitangu, Tjiwali, Tjiwalindja, Tjiwaling, Tjiwarlin, Walmadere, Walmadjeri, Walmadyari, Walmadyeri, Walmaharri, Walmaharry, Walmajai, Walmajari, Walmajeri, Walmatjari, Walmatjeri, Walmatjiri, Walmeri, Wanaeka, Waneiga, Wanmadjari, Warinari Pundur, Warmala, Wolmadjari, Wolmaharry, Wolmaijari, Wolmera, Wulumarai, Wulumari, Walmad jeri, Wariari Pundur, Dju alin","Walmajarri language A66","Walmajarri people A66","-19.467373171132","126.15125175949","WA","https://collection.aiatsis.gov.au/austlang/language/a66"
"A67","Yulparija ","Yulparitja, Martu Wangka, Julbaridja, Nangatara, Yurlparija, Julbarida, Julbre, Julbri, Yulaparitya, Yulbari dja, Yulbaridja, Yulbaridya, Yulbarija, Yulbri, Yurlbaridya, YulapaRitya, Yulbaradja, Jülbre, Yuria, Yulparirra, Nangadjara, Njangadjara, Julbaritja, Ilbaridja, Nanidjara, Nangi, Mangai, Mangi","Yulparija language A67","Yulparija people A67","-21.183997145606","124.954501252","WA","https://collection.aiatsis.gov.au/austlang/language/a67"
